range,values
'Cotizaciones'!M441,[[0.95]]
'Cotizaciones'!N441,[['CPU']]
'Cotizaciones'!F442,[['PRIME H510M-A/CSM']]
'Cotizaciones'!M442,[[0.88]]
'Cotizaciones'!N442,[['MOBO']]
'Cotizaciones'!F444,[['SNVS/500G']]
'Cotizaciones'!M444,[[0.88]]
'Cotizaciones'!N444,[['SSD']]
'Cotizaciones'!F448,[['Z1INSSO10PRO']]
'Cotizaciones'!M448,[[1.0]]
'Cotizaciones'!N448,[['Sistema operativo']]
'Cotizaciones'!F458,[['Z1INSSO10PRO']]
'Cotizaciones'!M458,[[1.0]]
'Cotizaciones'!N458,[['Sistema operativo']]
'Cotizaciones'!F461,[['BX8071512400']]
'Cotizaciones'!M461,[[0.9]]
'Cotizaciones'!N461,[['CPU']]
'Cotizaciones'!F464,[['SNVS/250G']]
'Cotizaciones'!M464,[[0.95]]
'Cotizaciones'!N464,[['SSD']]
'Cotizaciones'!F468,[['SPD-0600P']]
'Cotizaciones'!M468,[[1.0]]
'Cotizaciones'!N468,[['PSU']]
'Cotizaciones'!F469,[['Z1INSSO10PRO']]
'Cotizaciones'!M469,[[1.0]]
'Cotizaciones'!N469,[['Sistema operativo']]
'Cotizaciones'!F471,[['B660M DS3H DDR4']]
'Cotizaciones'!M471,[[1.0]]
'Cotizaciones'!N471,[['MOBO']]
'Cotizaciones'!F474,[['AD4S32008G22-SGN']]
'Cotizaciones'!M474,[[0.96]]
'Cotizaciones'!N474,[['RAM']]
'Cotizaciones'!F476,[['BX8071512400F']]
'Cotizaciones'!M476,[[0.9]]
'Cotizaciones'!N476,[['CPU']]
'Cotizaciones'!F477,[['B660M DS3H DDR4']]
'Cotizaciones'!M477,[[1.0]]
'Cotizaciones'!N477,[['MOBO']]
